ID,BEiT Class,Archetype,Lat,Lon,PGA μ(g),PGA σ(g),P(None),P(DS1) μ,P(DS1) σ,P(DS2) μ,P(DS2) σ,P(DS3) μ,P(DS3) σ,P(DS4) μ,P(DS4) σ,Mean DS,Loss Ratio
85,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,84.96382,0.092,0.0734,0.961,0.038,0.083,0.001,0.006,0.0,0.001,0.0,0.001,None,0.002
86,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,82.78882,0.0974,0.0773,0.957,0.042,0.087,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
87,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,83.46382,0.0935,0.0758,0.96,0.039,0.083,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
88,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.98617,81.51382,0.1028,0.0906,0.949,0.049,0.105,0.002,0.011,0.0,0.002,0.0,0.001,None,0.003
89,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.53617,83.16382,0.0962,0.0771,0.959,0.039,0.089,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
90,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.93617,83.61382,0.0969,0.0833,0.955,0.043,0.092,0.001,0.01,0.0,0.002,0.0,0.001,None,0.003
91,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.73617,87.13882,0.0915,0.0675,0.963,0.036,0.076,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
92,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.06117,81.43882,0.0944,0.0682,0.962,0.037,0.079,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
93,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,83.91382,0.0949,0.0664,0.96,0.039,0.076,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
94,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.28617,81.51382,0.0956,0.07,0.957,0.042,0.081,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
95,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.98617,82.18882,0.0942,0.0711,0.958,0.041,0.083,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
96,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.16117,82.56382,0.0993,0.0778,0.954,0.044,0.087,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
97,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.63617,83.68882,0.0971,0.0758,0.955,0.043,0.09,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
98,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.81117,87.58882,0.0971,0.0758,0.955,0.043,0.09,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
99,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,83.08882,0.0943,0.0777,0.958,0.041,0.089,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
100,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.58617,87.51382,0.0944,0.0737,0.959,0.04,0.087,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
101,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.61117,82.93882,0.0937,0.0694,0.96,0.039,0.08,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
102,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.48617,84.28882,0.0958,0.075,0.96,0.038,0.082,0.001,0.009,0.0,0.002,0.0,0.001,None,0.002
103,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.81117,87.13882,0.0966,0.0709,0.958,0.041,0.082,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
104,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.58882,0.0937,0.0694,0.96,0.039,0.08,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
105,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.96382,0.0987,0.0794,0.955,0.043,0.091,0.001,0.009,0.0,0.002,0.0,0.001,None,0.003
106,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.66382,0.0931,0.0668,0.962,0.037,0.078,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
107,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.33617,81.58882,0.0992,0.082,0.952,0.046,0.098,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
108,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.73617,87.21382,0.0915,0.0704,0.985,0.013,0.053,0.001,0.01,0.0,0.003,0.0,0.003,None,0.001
109,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.56117,81.43882,0.0892,0.066,0.987,0.012,0.043,0.001,0.004,0.0,0.001,0.0,0.0,None,0.001
110,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.23617,82.86382,0.0997,0.0801,0.979,0.018,0.064,0.002,0.014,0.001,0.006,0.001,0.009,None,0.002
111,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.38882,0.0957,0.0818,0.981,0.015,0.059,0.002,0.015,0.001,0.007,0.001,0.017,None,0.003
112,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.41117,84.58882,0.0923,0.0707,0.986,0.012,0.046,0.001,0.012,0.0,0.005,0.001,0.009,None,0.002
113,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,80.38882,0.0966,0.0771,0.982,0.015,0.058,0.002,0.014,0.001,0.006,0.001,0.007,None,0.002
114,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.11117,81.96382,0.0955,0.0695,0.985,0.014,0.051,0.001,0.009,0.0,0.003,0.0,0.003,None,0.001
115,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.11117,85.86382,0.1011,0.0745,0.981,0.017,0.059,0.001,0.008,0.0,0.002,0.0,0.002,None,0.002
116,RCC_H1 flat roof,CR_LFINF_DUL_H1,30.06117,81.28882,0.1038,0.0823,0.974,0.022,0.074,0.002,0.012,0.001,0.003,0.0,0.003,None,0.002
117,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.61117,82.86382,0.093,0.0658,0.987,0.012,0.047,0.001,0.006,0.0,0.001,0.0,0.001,None,0.001
118,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.98882,0.0942,0.0644,0.987,0.012,0.046,0.001,0.007,0.0,0.002,0.0,0.002,None,0.001
119,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.01382,0.097,0.074,0.981,0.016,0.065,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
120,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.93617,83.46382,0.1023,0.0804,0.979,0.017,0.063,0.002,0.016,0.001,0.006,0.001,0.008,None,0.002
121,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.96117,86.76382,0.0978,0.0743,0.983,0.015,0.052,0.001,0.012,0.0,0.005,0.0,0.008,None,0.002
122,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.18617,85.71382,0.0941,0.0663,0.987,0.012,0.044,0.001,0.009,0.0,0.004,0.0,0.004,None,0.001
123,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.33617,84.66382,0.0984,0.0711,0.983,0.015,0.054,0.001,0.007,0.0,0.002,0.0,0.001,None,0.001
124,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,82.86382,0.1,0.0794,0.978,0.019,0.065,0.002,0.012,0.0,0.004,0.0,0.005,None,0.002
125,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.16117,82.63882,0.0889,0.0676,0.986,0.013,0.05,0.001,0.007,0.0,0.002,0.0,0.002,None,0.001
126,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,84.13882,0.0932,0.0681,0.986,0.013,0.051,0.001,0.008,0.0,0.002,0.0,0.002,None,0.001
127,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,83.76382,0.098,0.0755,0.98,0.018,0.063,0.002,0.01,0.0,0.003,0.0,0.002,None,0.002
128,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.58617,87.06382,0.0993,0.0878,0.977,0.018,0.064,0.002,0.017,0.001,0.008,0.001,0.015,None,0.003
129,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.38617,82.86382,0.0936,0.0673,0.986,0.012,0.049,0.001,0.008,0.0,0.003,0.0,0.003,None,0.001
130,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.81117,86.83882,0.1006,0.0819,0.978,0.018,0.064,0.002,0.015,0.001,0.006,0.001,0.009,None,0.002
131,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.86117,80.83882,0.1,0.0785,0.978,0.019,0.069,0.002,0.011,0.001,0.003,0.0,0.003,None,0.002
132,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.08882,0.1011,0.0754,0.98,0.017,0.061,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
133,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.08617,83.38882,0.0993,0.0736,0.981,0.017,0.059,0.001,0.008,0.0,0.002,0.0,0.002,None,0.002
134,Timber,W_WWD_LWAL_DNO_H1,28.48617,81.43882,0.1041,0.0814,0.918,0.073,0.126,0.006,0.023,0.001,0.008,0.001,0.011,None,0.007
135,Timber,W_WWD_LWAL_DNO_H1,30.36117,81.51382,0.0984,0.0749,0.924,0.069,0.122,0.005,0.019,0.001,0.005,0.001,0.004,None,0.006
136,Timber,W_WWD_LWAL_DNO_H1,29.23617,84.06382,0.0974,0.0687,0.93,0.065,0.112,0.004,0.016,0.001,0.005,0.0,0.004,None,0.005
137,Timber,W_WWD_LWAL_DNO_H1,29.16117,82.78882,0.1022,0.0839,0.92,0.071,0.124,0.006,0.025,0.002,0.009,0.001,0.011,None,0.007
138,Timber,W_WWD_LWAL_DNO_H1,28.41117,84.21382,0.0957,0.0703,0.93,0.065,0.116,0.004,0.016,0.001,0.004,0.0,0.003,None,0.005
