#,,,,,"generated_by='OpenQuake engine 3.20.1', start_date='2024-11-22T04:58:56', checksum=2378174471"
event_id,gmv_PGA,gmv_SA(0.3),gmv_SA(0.6),gmv_SA(1.0),custom_site_id
0,0.0575704,0.226006,0.101257,0.0652266,wh1ytzu0
0,0.0421571,0.104565,0.0744079,0.0902453,wh1yvbh1
0,0.0411166,0.232053,0.303444,0.199096,wh1yvbh5
0,0.190453,0.155251,0.144625,0.0275162,wh1yvbk4
0,0.0699171,0.230977,0.0815645,0.0819961,wh1yvbs0
0,0.0642617,0.146209,0.0569451,0.102377,wh1yvbsn
0,0.110649,0.125968,0.0627052,0.0184974,wh1yvbu0
0,0.0830045,0.0968549,0.0942223,0.0747331,wh1yvckj
0,0.189669,0.0945118,0.254025,0.039552,wh1yvfs5
0,0.120832,0.229345,0.143525,0.0617868,wh1yvvhh
0,0.0736528,0.0753409,0.0615122,0.0501369,wh1yvvun
0,0.0627694,0.067316,0.187288,0.0333142,wh1yvzh1
0,0.279359,0.0870235,0.0814449,0.0252814,wh1zjbk0
0,0.106594,0.0867406,0.18279,0.0239618,wh1zjbsn
0,0.202554,0.263764,0.0644052,0.022949,wh1zjbu0
0,0.0371778,0.129621,0.117086,0.0601141,wh1zjcsj
0,0.139613,0.595678,0.231342,0.0385833,wh1zjgkn
0,0.0947291,0.0802968,0.0675769,0.031071,wh1yvbkk
0,0.0382509,0.195237,0.134657,0.0669456,wh1yvbu6
0,0.0869779,0.141467,0.369047,0.0658189,wh1yvvh7
0,0.10281,0.131364,0.0538249,0.0527407,wh1ytzs7
0,0.0204373,0.307164,0.0445552,0.122565,wh1ytzur
0,0.0717639,0.497051,0.130706,0.0417391,wh1yvbh6
0,0.134443,0.304975,0.0778706,0.0890794,wh1yvbkk
0,0.0556837,0.0917588,0.0415655,0.0210471,wh1yvbkm
0,0.0721697,0.0973907,0.0960613,0.0729273,wh1yvbkr
0,0.0704157,0.196216,0.150283,0.189226,wh1yvbs2
0,0.0562918,0.110596,0.070958,0.0914142,wh1yvbsq
0,0.176475,0.22443,0.077223,0.0559684,wh1yvbsr
0,0.122142,0.17045,0.183104,0.0602117,wh1yvbu2
0,0.0369651,0.16647,0.102671,0.0396105,wh1yvbu6
0,0.370381,0.271163,0.181295,0.0654223,wh1yvfh7
0,0.15328,0.213091,0.0911496,0.0766149,wh1yvuur
0,0.0539265,0.0483369,0.266913,0.253113,wh1yvys7
0,0.1364,0.0569687,0.12407,0.0484603,wh1yvyuk
0,0.0359234,0.176967,0.0480055,0.0194549,wh1zjbkm
0,0.415791,0.148547,0.200847,0.056457,wh1zjbs6
0,0.0973721,0.102961,0.0961992,0.024065,wh1zjcsr
0,0.0967568,0.136485,0.0525098,0.0328452,wh1yvbss
0,0.0345563,0.234485,0.0540284,0.038085,wh1yvbsw
0,0.163463,0.270783,0.133549,0.0717615,wh1yvbsx
0,0.0249051,0.169178,0.0368451,0.0289676,wh1yvbu9
0,0.0504137,0.129584,0.0711531,0.0277788,wh1yvbud
